frame,time_s,coarse_min,coarse_max,coarse_mean,coarse_nonzero_pct,fine_min,fine_max,fine_mean,fine_nonzero_pct,plume_inflow_avg,plume_mid_avg,plume_wake_avg,total_smoke_mass
195,3.2500,0.0000,1.0000,0.146210,67.02,0.0000,1.0000,0.146210,66.81,1.0000,0.7161,0.2980,2924.19
196,3.2667,0.0000,1.0000,0.146319,67.02,0.0000,1.0000,0.146319,66.81,1.0000,0.7182,0.2979,2926.38
197,3.2833,0.0000,1.0000,0.146422,67.02,0.0000,1.0000,0.146422,66.82,1.0000,0.7201,0.2978,2928.44
198,3.3000,0.0000,1.0000,0.146517,67.02,0.0000,1.0000,0.146517,66.81,1.0000,0.7220,0.2977,2930.34
199,3.3167,0.0000,1.0000,0.146604,67.06,0.0000,1.0000,0.146604,66.82,1.0000,0.7238,0.2976,2932.09
200,3.3333,0.0000,1.0000,0.146683,67.06,0.0000,1.0000,0.146683,66.82,1.0000,0.7256,0.2975,2933.67
201,3.3500,0.0000,1.0000,0.146754,67.06,0.0000,1.0000,0.146754,66.81,1.0000,0.7275,0.2973,2935.08
202,3.3667,0.0000,1.0000,0.146815,67.06,0.0000,1.0000,0.146815,66.81,1.0000,0.7294,0.2972,2936.30
203,3.3833,0.0000,1.0000,0.146868,67.04,0.0000,1.0000,0.146868,66.82,1.0000,0.7312,0.2971,2937.36
204,3.4000,0.0000,1.0000,0.146914,67.04,0.0000,1.0000,0.146914,66.82,1.0000,0.7331,0.2970,2938.28
205,3.4167,0.0000,1.0000,0.146955,67.04,0.0000,1.0000,0.146955,66.82,1.0000,0.7349,0.2969,2939.09
206,3.4333,0.0000,1.0000,0.146991,67.04,0.0000,1.0000,0.146991,66.83,1.0000,0.7367,0.2968,2939.82
